Source,Target,Type,start_year,end_year
32014R0513,12012E082,BASED_ON,2014.0,2012.0
32012H0798,32002L0021,CITES,2012.0,2002.0
32013D0730,32003D0807,CITES,2013.0,2003.0
32021R0250,12016M/PRO/01,CITES,2021.0,2016.0
32021R0250,12016E/TXT,CITES,2021.0,2016.0
32021R0250,12016M005,CITES,2021.0,2016.0
32021R0250,32008R1008,CITES,2021.0,2008.0
32021R0250,12016E290,CITES,2021.0,2016.0
32021R0250,32016Q0512(01),CITES,2021.0,2016.0
32021R0250,12016M/TXT,CITES,2021.0,2016.0
32021R0250,12016E/PRO/01,CITES,2021.0,2016.0
32014L0091,12012E294,BASED_ON,2014.0,2012.0
32014L0091,12012E053,BASED_ON,2014.0,2012.0
32020R2223,12016A106BIS,BASED_ON,2020.0,2016.0
32025D0396,12016M029,BASED_ON,2025.0,2016.0
32023D2426,32017D0939,CITES,2023.0,2017.0
32023R2675,32016R0679,CITES,2023.0,2016.0
32023R2675,12016M/TXT,CITES,2023.0,2016.0
32023R2675,12016E/TXT,CITES,2023.0,2016.0
32023R2675,12016E218,CITES,2023.0,2016.0
32023R2675,12016M005,CITES,2023.0,2016.0
32023R2675,31996R2271,CITES,2023.0,1996.0
32023R2675,32016Q0512(01),CITES,2023.0,2016.0
32023R2675,12016M003,CITES,2023.0,2016.0
32023R2675,12016M021,CITES,2023.0,2016.0
32023R2675,12016P/TXT,CITES,2023.0,2016.0
32023R2675,12016E290,CITES,2023.0,2016.0
32023D0599,12016M021,CITES,2023.0,2016.0
32016R1178,32009L0065,CITES,2016.0,2009.0
32016R1178,32015R2205,CITES,2016.0,2015.0
32016R1178,32010R1095,CITES,2016.0,2010.0
32016R1178,32013R0575,CITES,2016.0,2013.0
32013D0041(01),32003R1745,BASED_ON,2013.0,2003.0
32013D0041(01),31998R2533,BASED_ON,2013.0,1998.0
32013D0041(01),32013R1071,BASED_ON,2013.0,2013.0
32013D0041(01),12012E/PRO/04,BASED_ON,2013.0,2012.0
