Id,Label,Year,Type,Era,Seed_Concepts
32020R0389,32020R0389,2020.0,Regulation,2020s,0
32020R0657,32020R0657,2020.0,Regulation,2020s,0
32020R2171,32020R2171,2020.0,Regulation,2020s,0
32021H2279,32021H2279,2021.0,Legislative_Act,2020s,0
32021L0338,32021L0338,2021.0,Directive,2020s,0
32021R1199,32021R1199,2021.0,Regulation,2020s,0
32022R0001,32022R0001,2022.0,Regulation,2020s,0
32022R1369,32022R1369,2022.0,Regulation,2020s,0
32022R1392,32022R1392,2022.0,Regulation,2020s,0
32022R2303,32022R2303,2022.0,Regulation,2020s,0
32023R1115,32023R1115,2023.0,Regulation,2020s,0
32023R1781,32023R1781,2023.0,Regulation,2020s,0
32023R2406,32023R2406,2023.0,Regulation,2020s,0
32024L2994,32024L2994,2024.0,Directive,2020s,0
32024R0912,32024R0912,2024.0,Regulation,2020s,0
32024R1808,32024R1808,2024.0,Regulation,2020s,0
32025R0392,32025R0392,2025.0,Regulation,2020s,0
61976CJ0027,61976CJ0027,1976.0,Case_Law,Pre-Single European Act,0
61979CJ0730,61979CJ0730,1979.0,Case_Law,Pre-Single European Act,0
61986CJ0001,61986CJ0001,1986.0,Case_Law,Pre-Single European Act,0
61986CJ0066,61986CJ0066,1986.0,Case_Law,Pre-Single European Act,0
61995CJ0343,61995CJ0343,1995.0,Case_Law,1990s,0
61997TJ0296,61997TJ0296,1997.0,Case_Law,1990s,0
61999CJ0143,61999CJ0143,1999.0,Case_Law,1990s,0
62001CJ0005,62001CJ0005,2001.0,Case_Law,Early 2000s,0
62003CJ0172,62003CJ0172,2003.0,Case_Law,Early 2000s,0
62003TJ0442,62003TJ0442,2003.0,Case_Law,Early 2000s,0
62009CJ0173,62009CJ0173,2009.0,Case_Law,Late 2000s,0
62009TJ0139,62009TJ0139,2009.0,Case_Law,Late 2000s,0
62011CJ0072,62011CJ0072,2011.0,Case_Law,Early 2010s,0
62011CJ0197,62011CJ0197,2011.0,Case_Law,Early 2010s,0
62012CJ0262,62012CJ0262,2012.0,Case_Law,Early 2010s,0
62018CJ0385,62018CJ0385,2018.0,Case_Law,Late 2010s,0
11957E070,11957E070,1957.0,Treaty,Pre-Treaty of Rome,0
11957E089,11957E089,1957.0,Treaty,Pre-Treaty of Rome,0
11957E153,11957E153,1957.0,Treaty,Pre-Treaty of Rome,0
11965F/PRO/PRI/16,11965FPROPRI16,1965.0,Treaty,Pre-Single European Act,0
11965F032,11965F032,1965.0,Treaty,Pre-Single European Act,0
11992E059,11992E059,1992.0,Treaty,Pre-Maastricht,0
11992E075,11992E075,1992.0,Treaty,Pre-Maastricht,0
11992E084,11992E084,1992.0,Treaty,Pre-Maastricht,0
11992E130R,11992E130R,1992.0,Treaty,Pre-Maastricht,0
11997M017,11997M017,1997.0,Treaty,1990s,0
12002M015,12002M015,2002.0,Treaty,Early 2000s,0
12006E055,12006E055,2006.0,Treaty,Late 2000s,0
12012E223,12012E223,2012.0,Treaty,Early 2010s,0
12012M031,12012M031,2012.0,Treaty,Early 2010s,0
12012M041,12012M041,2012.0,Treaty,Early 2010s,0
12016A106BIS,12016A106BIS,2016.0,Treaty,Late 2010s,0
12016E004,12016E004,2016.0,Treaty,Late 2010s,0
12016E122,12016E122,2016.0,Treaty,Late 2010s,0
12016E189,12016E189,2016.0,Treaty,Late 2010s,0
12016E207,12016E207,2016.0,Treaty,Late 2010s,0
12016EN02,12016EN02,2016.0,Treaty,Late 2010s,0
12016M/PRO/36,12016MPRO36,2016.0,Treaty,Late 2010s,0
12016M002,12016M002,2016.0,Treaty,Late 2010s,0
197D,197D,,Treaty,Unknown,0
31958D0255,31958D0255,1958.0,Decision,Pre-Single European Act,0
31964L0225,31964L0225,1964.0,Directive,Pre-Single European Act,0
31967R0422,31967R0422,1967.0,Regulation,Pre-Single European Act,0
31970L0509,31970L0509,1970.0,Directive,Pre-Single European Act,0
31970L0510,31970L0510,1970.0,Directive,Pre-Single European Act,0
31970R1108,31970R1108,1970.0,Regulation,Pre-Single European Act,0
31975D0327,31975D0327,1975.0,Decision,Pre-Single European Act,0
31975D0487,31975D0487,1975.0,Decision,Pre-Single European Act,0
31979R0214,31979R0214,1979.0,Regulation,Pre-Single European Act,0
31979Y0329(02),31979Y032902,1979.0,Legislative_Act,Pre-Single European Act,0
31984L0253,31984L0253,1984.0,Directive,Pre-Single European Act,0
31985R3640,31985R3640,1985.0,Regulation,Pre-Single European Act,0
31986Y0131,31986Y0131,1986.0,Legislative_Act,Pre-Single European Act,0
31990R1588,31990R1588,1990.0,Regulation,Pre-Maastricht,0
31991L0356,31991L0356,1991.0,Directive,Pre-Maastricht,0
31993L0026,31993L0026,1993.0,Directive,1990s,0
31993L0074,31993L0074,1993.0,Directive,1990s,0
31993L0105,31993L0105,1993.0,Directive,1990s,0
31996D0642,31996D0642,1996.0,Decision,1990s,0
31996L0002,31996L0002,1996.0,Directive,1990s,0
31996L0026,31996L0026,1996.0,Directive,1990s,0
31996R2232,31996R2232,1996.0,Regulation,1990s,0
31997D0828,31997D0828,1997.0,Decision,1990s,0
31997R0058,31997R0058,1997.0,Regulation,1990s,0
31998D0498,31998D0498,1998.0,Decision,1990s,0
31998R2532,31998R2532,1998.0,Regulation,1990s,0
31998Y0206(01),31998Y020601,1998.0,Legislative_Act,1990s,0
32000D0764,32000D0764,2000.0,Decision,Early 2000s,0
32000L0035,32000L0035,2000.0,Directive,Early 2000s,0
32001L0017,32001L0017,2001.0,Directive,Early 2000s,0
32001L0022,32001L0022,2001.0,Directive,Early 2000s,0
32002D0842,32002D0842,2002.0,Decision,Early 2000s,0
32002L0019,32002L0019,2002.0,Directive,Early 2000s,0
32002L0060,32002L0060,2002.0,Directive,Early 2000s,0
32003L0087,32003L0087,2003.0,Directive,Early 2000s,0
32003R0622,32003R0622,2003.0,Regulation,Early 2000s,0
32003R2160,32003R2160,2003.0,Regulation,Early 2000s,0
